objectid,Expense,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,Highways,45.62,45.03,46.4,46.91,47.46,46.99,45.13,46.83,46.9,47.93,48.1,46.73,47.32,46.59,48.19,47.15,41.37,39.55,38.57,42.65
2,Mass transit and rail,14.31,13.99,13.62,13.96,14.21,15.19,15.79,14.67,15.28,15.2,16.1,15.71,16.94,17.3,15.82,15.73,23.73,23.79,27.5,20.97
