"State and Local General Expenditures, Per Capita, FY 2011",,,
State,Total,Highways,Population (thousands)
AL.................................................................................,"7,410    ",456    ,"4,799    "
AR.................................................................................,"7,062    ",470    ,"2,941    "
AZ.................................................................................,"6,602    ",383    ,"6,473    "
CA.................................................................................,"9,457    ",395    ,"37,638    "
CO.................................................................................,"7,726    ",473    ,"5,121    "
CT.................................................................................,"9,224    ",432    ,"3,588    "
DC.................................................................................,"17,228    ",866    ,620    
DE.................................................................................,"9,481    ",652    ,907    
FL.................................................................................,"7,189    ",430    ,"19,053    "
GA.................................................................................,"6,580    ",296    ,"9,802    "
IA.................................................................................,"8,628    ",687    ,"3,066    "
ID.................................................................................,"6,592    ",633    ,"1,584    "
IL.................................................................................,"8,035    ",556    ,"12,867    "
IN.................................................................................,"7,045    ",415    ,"6,517    "
KS.................................................................................,"8,002    ",612    ,"2,869    "
KY.................................................................................,"7,391    ",511    ,"4,370    "
LA.................................................................................,"9,403    ",658    ,"4,576    "
MA.................................................................................,"9,440    ",387    ,"6,614    "
MD.................................................................................,"8,559    ",507    ,"5,839    "
ME.................................................................................,"8,465    ",690    ,"1,328    "
MI.................................................................................,"7,466    ",351    ,"9,882    "
MN.................................................................................,"8,839    ",686    ,"5,346    "
MO.................................................................................,"6,938    ",528    ,"6,010    "
MS.................................................................................,"8,015    ",568    ,"2,979    "
MT.................................................................................,"8,148    ",900    ,997    
NC.................................................................................,"6,992    ",397    ,"9,658    "
ND.................................................................................,"9,456    ","1,424    ",685    
NE.................................................................................,"7,874    ",624    ,"1,841    "
NH.................................................................................,"7,772    ",580    ,"1,320    "
NJ.................................................................................,"9,247    ",497    ,"8,828    "
NM.................................................................................,"9,150    ",570    ,"2,080    "
NV.................................................................................,"6,904    ",518    ,"2,713    "
NY.................................................................................,"12,124    ",569    ,"19,499    "
OH.................................................................................,"8,080    ",435    ,"11,545    "
OK.................................................................................,"6,832    ",639    ,"3,788    "
OR.................................................................................,"8,198    ",523    ,"3,872    "
PA.................................................................................,"8,448    ",706    ,"12,746    "
RI.................................................................................,"8,794    ",329    ,"1,054    "
SC.................................................................................,"7,566    ",330    ,"4,672    "
SD.................................................................................,"7,552    ","1,116    ",824    
TN.................................................................................,"6,587    ",370    ,"6,399    "
TX.................................................................................,"7,237    ",427    ,"25,646    "
UT.................................................................................,"7,244    ",656    ,"2,814    "
VA.................................................................................,"7,551    ",447    ,"8,101    "
VT.................................................................................,"9,856    ",957    ,627    
WA.................................................................................,"8,528    ",596    ,"6,827    "
WI.................................................................................,"8,401    ",656    ,"5,705    "
WV.................................................................................,"7,784    ",702    ,"1,856    "
WY.................................................................................,"13,299    ","1,233    ",567    
,,,
