"State and Local General Expenditures, Per Capita, FY 2013",,,
State,Total,Highways,Population (thousands)
AL.................................................................................,"8,117    ",482    ,"4,864    "
AR.................................................................................,"7,112    ",522    ,"2,955    "
AZ.................................................................................,"6,426    ",346    ,"6,563    "
CA.................................................................................,"9,370    ",477    ,"38,291    "
CO.................................................................................,"7,683    ",476    ,"5,264    "
CT.................................................................................,"9,390    ",598    ,"3,610    "
DC.................................................................................,"17,924    ",989    ,645    
DE.................................................................................,"9,922    ",617    ,926    
FL.................................................................................,"6,842    ",420    ,"19,508    "
GA.................................................................................,"6,496    ",328    ,"9,981    "
IA.................................................................................,"8,799    ",711    ,"3,102    "
ID.................................................................................,"6,798    ",538    ,"1,618    "
IL.................................................................................,"8,335    ",562    ,"12,961    "
IN.................................................................................,"7,066    ",386    ,"6,581    "
KS.................................................................................,"7,785    ",593    ,"2,902    "
KY.................................................................................,"7,351    ",571    ,"4,416    "
LA.................................................................................,"8,792    ",540    ,"4,628    "
MA.................................................................................,"9,784    ",450    ,"6,757    "
MD.................................................................................,"8,797    ",477    ,"5,962    "
ME.................................................................................,"8,226    ",690    ,"1,333    "
MI.................................................................................,"7,514    ",342    ,"9,947    "
MN.................................................................................,"8,783    ",706    ,"5,430    "
MO.................................................................................,"7,181    ",428    ,"6,044    "
MS.................................................................................,"7,993    ",550    ,"2,987    "
MT.................................................................................,"7,767    ",837    ,"1,016    "
NC.................................................................................,"7,593    ",415    ,"9,803    "
ND.................................................................................,"10,222    ","1,836    ",727    
NE.................................................................................,"8,072    ",702    ,"1,873    "
NH.................................................................................,"7,252    ",598    ,"1,331    "
NJ.................................................................................,"9,464    ",563    ,"8,985    "
NM.................................................................................,"8,614    ",512    ,"2,097    "
NV.................................................................................,"6,433    ",605    ,"2,770    "
NY.................................................................................,"12,285    ",495    ,"19,892    "
OH.................................................................................,"7,943    ",440    ,"11,612    "
OK.................................................................................,"7,123    ",576    ,"3,848    "
OR.................................................................................,"9,071    ",513    ,"3,924    "
PA.................................................................................,"8,503    ",691    ,"12,847    "
RI.................................................................................,"8,769    ",420    ,"1,068    "
SC.................................................................................,"7,341    ",268    ,"4,740    "
SD.................................................................................,"7,478    ","1,120    ",841    
TN.................................................................................,"6,496    ",366    ,"6,508    "
TX.................................................................................,"7,030    ",476    ,"26,438    "
UT.................................................................................,"7,402    ",543    ,"2,908    "
VA.................................................................................,"7,840    ",509    ,"8,270    "
VT.................................................................................,"10,333    ",905    ,633    
WA.................................................................................,"8,248    ",594    ,"6,974    "
WI.................................................................................,"8,199    ",731    ,"5,757    "
WV.................................................................................,"7,905    ",637    ,"1,857    "
WY.................................................................................,"13,887    ","1,275    ",581    
,,,
